model,MAE,RMSE
18-3-9-8-16_4-3-2-2-16-2-0.75,0.34891084,0.50821775
12-2-4-8-16_4-1-3-2-8_4-2-0.95,0.35148263,0.51960784
18-2-10-8-16_4-3-3-2-16-2-0.75,0.35153717,0.5211549
18-2-10-8-16_4-1-3-2-16-2-0.95,0.35206127,0.5070379
18-3-8-8-16_4-3-2-2-16-1-0.75,0.35239398,0.52068585
18-3-9-8-16_4-3-2-2-16-2-0.9,0.35654896,0.51613533
18-2-9-8-16_4-3-2-2-16-2-0.95,0.35770184,0.5083749
12-2-4-8-16_4-1-3-2-8_4-1-0.95,0.3631466,0.5537915
18-3-9-8-16_4-3-2-2-16-1-0.9,0.3633815,0.5109964
18-2-9-8-16_4-1-3-2-16-2-0.75,0.36530268,0.50494415
18-3-10-8-16_4-3-3-2-16-1-0.95,0.36655194,0.53265154
12-4-4-8-16_4-1-3-2-8_4-1-0.95,0.3694096,0.5094425
18-2-10-8-16_4-1-3-2-16-1-0.95,0.3701147,0.517802
18-2-9-8-16_4-1-3-2-16-1-0.9,0.37232816,0.5276792
18-3-8-8-16_4-3-2-2-16-2-0.75,0.37412956,0.51912326
18-3-10-8-16_4-3-3-2-16-1-0.75,0.37446743,0.574713
18-3-8-8-16_4-3-2-2-16-1-0.9,0.3789383,0.51966625
18-2-10-8-16_4-1-3-2-16-2-0.75,0.3791467,0.496533
18-2-8-8-16_4-1-3-2-16-2-0.9,0.37923577,0.5325529
18-3-8-8-16_4-1-3-2-16-1-0.95,0.38197446,0.5316634
18-2-8-8-16_4-1-3-2-16-1-0.75,0.3865425,0.543229
18-2-8-8-16_4-3-2-2-16-1-0.75,0.38723415,0.5365367
18-3-10-8-16_4-1-3-2-16-2-0.95,0.39093032,0.5406224
18-2-8-8-16_4-1-3-2-16-1-0.9,0.392899,0.5218304
18-2-10-8-16_4-1-3-2-16-1-0.9,0.39533034,0.5066051
12-2-4-8-16_4-3-3-2-8_4-2-0.95,0.3981976,0.5754145
18-2-10-8-16_4-3-2-2-16-2-0.9,0.408548,0.5492567
18-3-10-8-16_4-1-3-2-16-1-0.95,0.409515,0.54361737
18-2-8-8-16_4-1-3-2-16-2-0.95,0.4113755,0.5393285
18-3-8-8-16_4-1-3-2-16-2-0.9,0.4133216,0.55684257
18-2-10-8-16_4-1-3-2-16-1-0.75,0.426026,0.53530043
18-2-8-8-16_4-3-2-2-16-2-0.75,0.4339155,0.5651502
