model,MAE,RMSE
18-4-10-4-16_4-1-2-2-16-2-0.75,0.020112474,0.033046257
18-2-8-8-16_4-1-2-2-16-1-0.5,0.02015779,0.033300422
18-2-10-4-16_4-1-2-2-16-1-0.95,0.020185757,0.033644684
18-4-8-8-16_4-1-2-2-16-1-0.5,0.020201646,0.03331422
18-2-10-8-16_4-1-2-2-16-1-0.5,0.020205045,0.03338987
18-2-8-4-16_4-1-2-2-16-1-0.95,0.020246627,0.03319217
18-2-10-8-16_4-1-2-2-16-1-0.95,0.020261103,0.03350091
18-4-10-8-16_4-1-2-2-16-1-0.5,0.020262625,0.033498608
18-2-8-8-16_4-1-2-2-16-2-0.5,0.020294605,0.03360063
18-4-10-8-16_4-1-2-2-16-1-0.75,0.020308936,0.033518955
18-2-10-8-16_4-1-2-2-16-1-0.75,0.020327425,0.03360524
18-2-8-8-16_4-1-2-2-16-1-0.95,0.0203331,0.03353361
18-4-8-8-16_4-1-2-2-16-1-0.95,0.02033355,0.033368576
18-2-8-8-16_4-1-3-2-16-1-0.95,0.0203556,0.03395475
18-4-8-8-16_4-1-2-2-16-2-0.5,0.02036435,0.034155987
18-2-8-4-16_4-1-3-2-16-2-0.95,0.02040869,0.03333896
18-4-8-4-16_4-1-2-2-16-1-0.75,0.020420877,0.033623725
18-4-8-4-16_4-1-2-2-16-2-0.75,0.020470923,0.033418592
18-4-8-8-16_4-1-2-2-16-1-0.75,0.020476505,0.0337882
18-2-8-4-16_4-1-2-2-16-1-0.75,0.020508165,0.033376962
18-2-10-4-16_4-1-2-2-16-2-0.5,0.020534955,0.03388761
18-2-10-4-16_4-1-2-2-16-1-0.75,0.020535404,0.033915993
18-4-8-4-16_4-1-2-2-16-1-0.5,0.02056671,0.033914175
18-4-8-4-16_4-1-2-2-16-1-0.95,0.020581653,0.033520553
18-4-8-4-16_4-1-3-2-16-2-0.95,0.020582482,0.033586446
18-4-8-8-16_4-1-3-2-16-1-0.95,0.020595567,0.033440355
18-2-10-4-16_4-1-2-2-16-1-0.5,0.02060403,0.03318895
18-4-10-4-16_4-1-2-2-16-1-0.95,0.020619089,0.032872483
18-4-10-4-16_4-1-2-2-16-1-0.5,0.020635486,0.03388139
18-4-10-8-16_4-1-2-2-16-1-0.95,0.020636253,0.03374196
18-4-10-8-16_4-1-2-2-16-2-0.5,0.020648234,0.03391745
18-4-10-4-16_4-1-3-2-16-1-0.95,0.020651102,0.034087837
18-4-8-8-16_4-1-3-2-16-2-0.95,0.020667117,0.033122804
18-2-8-4-16_4-1-2-2-16-1-0.5,0.02068099,0.03407152
18-2-8-4-16_4-1-3-2-16-1-0.75,0.02070089,0.034041435
18-4-8-4-16_4-1-3-2-16-1-0.75,0.020766284,0.03331574
18-4-8-4-16_4-1-2-2-16-2-0.5,0.020780249,0.033924166
18-2-8-4-16_4-1-3-2-16-1-0.95,0.020785147,0.033380967
18-2-8-8-16_4-1-3-2-16-2-0.5,0.020796679,0.033783197
18-2-10-4-16_4-1-3-2-16-1-0.75,0.020819811,0.03410278
18-4-10-4-16_4-1-2-2-16-1-0.75,0.020832498,0.033226006
18-4-10-4-16_4-1-3-2-16-2-0.95,0.020845607,0.034167722
18-2-10-8-16_4-1-2-2-16-2-0.5,0.02088523,0.03420509
18-2-8-8-16_4-1-3-2-16-2-0.75,0.02092445,0.03306191
18-2-10-8-16_4-1-3-2-16-2-0.95,0.020950327,0.033287816
18-2-8-8-16_4-1-2-2-16-1-0.75,0.020972164,0.034401353
18-4-8-8-16_4-1-3-2-16-2-0.75,0.020982374,0.033385616
18-4-8-4-16_4-1-3-2-16-1-0.5,0.020992853,0.03436322
18-4-8-4-16_4-1-3-2-16-1-0.95,0.020993872,0.03473153
18-4-8-4-16_4-1-2-2-16-2-0.95,0.021005983,0.03421438
18-4-10-4-16_4-1-2-2-16-2-0.95,0.02103623,0.035144027
18-4-10-4-16_4-1-3-2-16-1-0.75,0.021048358,0.033288762
18-4-10-4-16_4-1-3-2-16-1-0.5,0.021080757,0.033611543
18-4-8-4-16_4-1-3-2-16-2-0.5,0.021086369,0.03384866
18-4-10-4-16_4-1-3-2-16-2-0.75,0.02108898,0.03380969
18-2-10-4-16_4-1-3-2-16-2-0.75,0.02112684,0.034655984
18-4-10-8-16_4-1-3-2-16-1-0.95,0.021176526,0.033281773
18-4-10-4-16_4-1-3-2-16-2-0.5,0.021204293,0.03396194
18-2-10-8-16_4-1-3-2-16-1-0.95,0.021229886,0.03324841
18-2-10-8-16_4-1-3-2-16-1-0.5,0.021380017,0.034092322
18-2-8-4-16_4-1-3-2-16-1-0.5,0.021444652,0.034700394
18-2-10-4-16_4-1-3-2-16-2-0.5,0.021468265,0.03379468
18-4-10-8-16_4-1-3-2-16-2-0.95,0.021558618,0.03405797
18-2-10-4-16_4-1-2-2-16-2-0.95,0.021669079,0.034172244
18-2-10-4-16_4-1-3-2-16-1-0.5,0.021739779,0.034114927
18-2-10-4-16_4-1-3-2-16-2-0.95,0.021763565,0.034727767
18-4-10-8-16_4-1-2-2-16-2-0.75,0.021765463,0.035086438
18-2-8-4-16_4-1-3-2-16-2-0.5,0.021790218,0.033924725
18-2-8-8-16_4-1-2-2-16-2-0.75,0.0219072,0.033537373
18-2-8-4-16_4-1-2-2-16-2-0.75,0.021960683,0.03407525
18-2-10-8-16_4-1-2-2-16-2-0.75,0.022020826,0.03441364
18-2-10-8-16_4-1-3-2-16-2-0.75,0.022155015,0.03382132
18-4-10-8-16_4-1-3-2-16-1-0.5,0.022236276,0.034322184
18-2-8-8-16_4-1-3-2-16-1-0.5,0.022291943,0.03381861
18-4-8-8-16_4-1-2-2-16-2-0.75,0.022350643,0.03349115
18-4-8-8-16_4-1-3-2-16-1-0.75,0.022478983,0.033831887
18-4-8-8-16_4-1-2-2-16-2-0.95,0.02251966,0.034571983
18-4-8-8-16_4-1-3-2-16-1-0.5,0.022523591,0.03424884
18-2-10-4-16_4-1-3-2-16-1-0.95,0.022547457,0.034507956
18-2-10-8-16_4-1-3-2-16-1-0.75,0.022587685,0.03417677
18-2-8-4-16_4-1-3-2-16-2-0.75,0.022680871,0.03552787
18-4-8-4-16_4-1-3-2-16-2-0.75,0.022740833,0.034505352
18-2-8-8-16_4-1-3-2-16-1-0.75,0.02310155,0.034530476
