model,MAE,RMSE
model,MAE,RMSE
18-2-10-8-16_4-1-2-2-16-1-0.75,0.021765945,0.035128865
18-2-8-8-16_4-1-3-2-16-1-0.75,0.0282968,0.040606193
18-2-10-8-16_4-1-3-2-32-2-0.5,0.026062138,0.040743176
18-2-8-8-16_4-1-2-2-16-2-0.5,0.020737987,0.033300836
18-3-10-8-16_4-1-3-2-16-1-0.75,0.02491195,0.039390944
18-2-10-8-16_4-1-3-2-16-1-0.75,0.02941433,0.042749405
18-2-10-8-16_4-1-3-2-16-2-0.75,0.029351104,0.041073956
18-3-10-8-16_4-1-2-2-16-2-0.5,0.020951392,0.03378029
18-3-8-8-16_4-1-3-2-16-1-0.75,0.026029803,0.03992147
18-3-10-8-16_4-1-2-2-32-1-0.5,0.024830876,0.037323747
18-3-8-8-16_4-1-3-2-16-2-0.75,0.029234324,0.042724222
18-2-8-8-16_4-1-2-2-16-2-0.75,0.033882283,0.04657063
18-3-8-8-16_4-1-2-2-16-1-0.75,0.02211603,0.034800634
18-2-8-8-16_4-1-3-2-32-1-0.5,0.026536617,0.040458027
18-2-10-8-16_4-1-2-2-32-2-0.5,0.021731947,0.034710996
18-3-8-8-16_4-1-2-2-16-1-0.5,0.021559037,0.034723446
18-3-10-8-16_4-1-3-2-16-2-0.75,0.039293773,0.051345006
18-3-8-8-16_4-1-2-2-16-2-0.75,0.026477799,0.03805027
18-3-8-8-16_4-1-3-2-32-1-0.75,0.02679631,0.038270976
18-3-10-8-16_4-1-2-2-32-1-0.75,0.035583276,0.048444252
18-2-8-8-16_4-1-3-2-32-2-0.75,0.03455941,0.043081693
18-2-10-8-16_4-1-2-2-16-2-0.75,0.024903247,0.037977457
18-2-10-8-16_4-1-2-2-32-1-0.5,0.027163064,0.03947802
18-2-8-8-16_4-1-3-2-32-1-0.75,0.030142654,0.045979246
18-3-10-8-16_4-1-3-2-32-1-0.75,0.032215215,0.045938395
18-2-10-8-16_4-1-3-2-32-2-0.75,0.029676523,0.043113407
18-2-8-8-16_4-1-2-2-32-1-0.75,0.03127629,0.0431759
18-3-10-8-16_4-1-3-2-32-2-0.75,0.029043503,0.041428853
18-2-10-8-16_4-1-3-2-32-1-0.75,0.025100706,0.03943257
18-3-10-8-16_4-1-2-2-16-2-0.75,0.02843349,0.04046765
18-3-8-8-16_4-1-3-2-32-2-0.75,0.032301307,0.041629046
18-2-10-8-16_4-1-3-2-16-1-0.9,0.033743173,0.049924474
18-2-8-8-16_4-1-3-2-16-2-0.75,0.026282554,0.03922572
18-3-8-8-16_4-1-2-2-16-1-0.9,0.022414505,0.03657173
18-2-8-8-16_4-1-2-2-32-2-0.75,0.021728275,0.034968253
18-2-10-8-16_4-1-2-2-32-2-0.75,0.030167392,0.04169191
18-3-8-8-16_4-1-3-2-16-1-0.9,0.029063666,0.044148818
18-3-10-8-16_4-1-2-2-16-1-0.75,0.02161873,0.03553874
18-3-8-8-16_4-1-3-2-16-2-0.9,0.03193604,0.04255972
18-3-10-8-16_4-1-3-2-16-1-0.9,0.029850535,0.043988112
18-3-10-8-16_4-1-3-2-16-2-0.9,0.029592248,0.04290326
18-2-10-8-16_4-1-2-2-32-1-0.75,0.02152145,0.034900174
18-2-8-8-16_4-1-2-2-16-2-0.9,0.027949069,0.04066825
18-3-10-8-16_4-1-2-2-16-1-0.9,0.021371294,0.03496608
18-3-8-8-16_4-1-2-2-32-2-0.5,0.02108469,0.03394938
18-2-8-8-16_4-1-3-2-32-1-0.9,0.035950497,0.04558761
18-3-10-8-16_4-1-2-2-16-2-0.9,0.02372413,0.03754732
18-2-10-8-16_4-1-3-2-32-1-0.9,0.039646193,0.052226752
18-2-8-8-16_4-1-3-2-16-1-0.9,0.02788876,0.044607643
18-2-8-8-16_4-1-2-2-16-1-0.9,0.022194957,0.03445556
18-2-8-8-16_4-1-3-2-16-2-0.9,0.039534032,0.049785312
18-3-10-8-16_4-1-3-2-32-1-0.9,0.031853363,0.042138435
18-2-10-8-16_4-1-2-2-16-2-0.9,0.022005334,0.036971178
18-3-8-8-16_4-1-3-2-32-1-0.9,0.027933354,0.04176271
18-3-8-8-16_4-1-2-2-32-2-0.75,0.021154473,0.034027386
18-2-10-8-16_4-1-3-2-16-2-0.9,0.03622838,0.052076634
18-2-10-8-16_4-1-2-2-32-1-0.9,0.020789927,0.03456853
18-2-8-8-16_4-1-2-2-32-1-0.9,0.025251407,0.03829257
18-2-10-8-16_4-1-3-2-32-2-0.9,0.03953986,0.048987698
18-3-8-8-16_4-1-2-2-32-1-0.75,0.026584035,0.03932527
18-2-8-8-16_4-1-2-2-32-2-0.9,0.029127948,0.039810613
18-3-8-8-16_4-1-2-2-32-2-0.9,0.023720914,0.03698908
18-3-8-8-16_4-1-3-2-32-2-0.9,0.030923858,0.04287165
18-3-10-8-16_4-1-3-2-32-2-0.9,0.029706204,0.04146694
18-2-10-8-16_4-1-2-2-16-1-0.9,0.021425577,0.035958957
18-3-8-8-16_4-1-2-2-16-2-0.9,0.0244786,0.03605587
18-3-10-8-16_4-1-2-2-32-2-0.75,0.023073947,0.036130384
18-3-8-8-16_4-1-2-2-32-1-0.9,0.02870994,0.041130118
18-3-10-8-16_4-1-2-2-32-2-0.9,0.023972534,0.037905864
18-2-10-8-16_4-1-2-2-32-2-0.9,0.023771202,0.03581509
18-2-8-8-16_4-1-3-2-32-2-0.9,0.035871927,0.04534536
18-3-10-8-16_4-1-2-2-32-1-0.9,0.022549445,0.034773875
model,MAE,RMSE
