
model,MAE,RMSE
18-2-8-8-32_4-1-2-2-128-1-0.95,0.01944242,0.033445504
24-4-8-8-32_4-1-2-2-64-1-0.95,0.02058735,0.032816008
18-4-10-8-32_4-1-3-2-128-1-0.95,0.03935178,0.06874343
18-2-8-8-16_4-1-3-2-64-1-0.95,0.02277359,0.04001003
24-4-8-8-32_4-1-3-2-64-2-0.95,0.022046097,0.037974898
24-4-10-8-16_4-1-3-2-128-1-0.95,0.030324835,0.038159184
18-2-10-8-16_4-1-3-2-128-2-0.95,0.03769602,0.04513552
18-2-10-8-16_4-1-3-2-64-1-0.95,0.023862269,0.040265057
24-4-8-8-32_4-1-3-2-128-1-0.95,0.025537886,0.03790421
24-2-8-8-16_4-1-3-2-128-2-0.95,0.04280997,0.052997347
18-2-8-8-32_4-1-3-2-128-2-0.95,0.04144281,0.046057068
24-4-8-8-16_4-1-2-2-64-2-0.95,0.022030318,0.034004465
24-2-8-8-16_4-1-3-2-64-1-0.95,0.0263436,0.034572113
24-4-10-8-32_4-1-2-2-64-1-0.95,0.020068385,0.03315515
18-2-10-8-32_4-1-2-2-128-1-0.95,0.020303905,0.034573883
24-4-10-8-32_4-1-3-2-64-2-0.95,0.031596646,0.045170948
24-2-10-8-16_4-1-3-2-128-2-0.95,0.022551835,0.033481088
24-4-10-8-32_4-1-3-2-128-1-0.95,0.042898215,0.035512257
18-2-10-8-32_4-1-3-2-128-2-0.95,0.02422059,0.03554245
24-2-10-8-16_4-1-3-2-64-1-0.95,0.022400774,0.07229628
24-2-8-8-32_4-1-3-2-128-2-0.95,0.02156855,0.04037994
18-4-8-8-64_4-1-2-2-64-1-0.95,0.021098685,0.03320849
18-4-8-8-64_4-1-3-2-64-2-0.95,0.04143878,0.03738887
18-2-8-8-64_4-1-3-2-128-1-0.95,0.03839636,0.042093895
18-2-8-8-32_4-1-2-2-128-2-0.95,0.020682916,0.03920476
24-4-10-8-16_4-1-2-2-64-2-0.95,0.0204245,0.03394496
24-2-8-8-32_4-1-2-2-128-1-0.95,0.0208956,0.033035822
18-2-8-8-64_4-1-2-2-64-2-0.95,0.019799506,0.03557747
24-2-10-8-32_4-1-3-2-128-2-0.95,0.02903999,0.045617554
18-2-10-8-64_4-1-3-2-128-1-0.95,0.034694783,0.037190203
18-4-10-8-64_4-1-2-2-64-1-0.95,0.02146236,0.03233416
18-2-10-8-32_4-1-2-2-128-2-0.95,0.020230476,0.03240598
18-4-10-8-64_4-1-3-2-64-2-0.95,0.048142314,0.052405823
18-4-8-8-64_4-1-2-2-128-2-0.95,0.020535834,0.036619242
24-2-8-8-64_4-1-3-2-128-1-0.95,0.029756414,0.035374887
18-4-8-8-32_4-1-3-2-128-2-0.95,0.041398793,0.08811214
18-2-10-8-64_4-1-2-2-64-2-0.95,0.020904388,0.034882054
24-2-10-8-32_4-1-2-2-128-1-0.95,0.023380432,0.03276512
24-4-8-8-64_4-1-2-2-64-1-0.95,0.021814795,0.032785222
24-4-8-8-64_4-1-3-2-64-2-0.95,0.03353468,0.03645856
24-2-10-8-64_4-1-3-2-128-1-0.95,0.029878698,0.060764797
18-4-10-8-32_4-1-3-2-128-2-0.95,0.041409627,0.034929775
24-2-8-8-32_4-1-2-2-128-2-0.95,0.019680971,0.032292858
18-4-10-8-64_4-1-2-2-128-2-0.95,0.022576377,0.032604408
24-4-10-8-64_4-1-2-2-64-1-0.95,0.024890134,0.03318522
18-4-8-8-64_4-1-3-2-128-1-0.95,0.020843431,0.037899636
18-4-8-8-32_4-1-2-2-128-1-0.95,0.021221112,0.033573925
24-2-8-8-64_4-1-2-2-64-2-0.95,0.020437386,0.031958528
24-4-10-8-64_4-1-3-2-64-2-0.95,0.02840829,0.034314588
18-2-8-8-64_4-1-3-2-64-1-0.95,0.023181193,0.044168547
24-4-8-8-32_4-1-3-2-128-2-0.95,0.040235683,0.037380688
24-4-8-8-64_4-1-2-2-128-2-0.95,0.024044072,0.035703443
24-2-10-8-32_4-1-2-2-128-2-0.95,0.019975778,0.040897235
18-4-10-8-64_4-1-3-2-128-1-0.95,0.025573613,0.043156013
24-2-10-8-64_4-1-2-2-64-2-0.95,0.022485424,0.03437272
18-2-10-8-64_4-1-3-2-64-1-0.95,0.03690503,0.05074995
18-4-10-8-32_4-1-2-2-128-1-0.95,0.023675509,0.03523558
18-2-8-8-64_4-1-2-2-128-1-0.95,0.019448832,0.033461116
24-4-10-8-32_4-1-3-2-128-2-0.95,0.035315968,0.035595313
18-4-8-8-32_4-1-2-2-128-2-0.95,0.01988542,0.032942835
18-4-8-8-64_4-1-2-2-64-2-0.95,0.020034105,0.033029996
24-4-8-8-64_4-1-3-2-128-1-0.95,0.04072004,0.036112398
24-2-8-8-64_4-1-3-2-64-1-0.95,0.027766168,0.04376317
18-2-10-8-64_4-1-2-2-128-1-0.95,0.022023935,0.033937246
24-4-10-8-64_4-1-2-2-128-2-0.95,0.019930676,0.032939892
18-4-10-8-32_4-1-2-2-128-2-0.95,0.020033162,0.03370677
24-4-8-8-32_4-1-2-2-128-1-0.95,0.02010585,0.032794394
18-2-8-8-64_4-1-2-2-64-1-0.95,0.021295672,0.032809626
24-2-10-8-64_4-1-3-2-64-1-0.95,0.02972259,0.03815218
18-2-8-8-64_4-1-3-2-128-2-0.95,0.02380376,0.039756827
24-4-10-8-64_4-1-3-2-128-1-0.95,0.043509338,0.044173017
18-4-10-8-64_4-1-2-2-64-2-0.95,0.02014383,0.034554217
18-2-10-8-64_4-1-3-2-128-2-0.95,0.022880591,0.037383962
24-4-8-8-32_4-1-2-2-128-2-0.95,0.027266188,0.034990966
24-2-8-8-64_4-1-2-2-128-1-0.95,0.02136837,0.03487896
24-4-10-8-32_4-1-2-2-128-1-0.95,0.020095047,0.033068646
18-4-8-8-64_4-1-3-2-64-1-0.95,0.02961563,0.041040592
18-2-10-8-64_4-1-2-2-64-1-0.95,0.020200327,0.03530944
18-2-8-8-64_4-1-2-2-128-2-0.95,0.019912502,0.032187074
24-4-8-8-64_4-1-2-2-64-2-0.95,0.028659046,0.031877108
18-2-8-8-32_4-1-3-2-128-1-0.95,0.022430383,0.044674113
24-2-10-8-64_4-1-2-2-128-1-0.95,0.022953385,0.033567466
18-4-10-8-64_4-1-3-2-64-1-0.95,0.048337467,0.056229755
24-2-8-8-64_4-1-3-2-128-2-0.95,0.027094409,0.036716904
24-2-8-8-64_4-1-2-2-64-1-0.95,0.020017847,0.062086627
24-4-10-8-32_4-1-2-2-128-2-0.95,0.022553734,0.0369921
18-2-10-8-32_4-1-3-2-128-1-0.95,0.03888956,0.058069922
24-4-8-8-64_4-1-3-2-64-1-0.95,0.038152285,0.042570822
18-2-10-8-64_4-1-2-2-128-2-0.95,0.02065148,0.034393102
24-4-10-8-64_4-1-2-2-64-2-0.95,0.019812923,0.03151883
18-4-8-8-64_4-1-2-2-128-1-0.95,0.02059063,0.033867687
24-2-8-8-32_4-1-3-2-128-1-0.95,0.022640735,0.036510736
24-2-10-8-64_4-1-3-2-128-2-0.95,0.025145292,0.03981461
18-2-8-8-64_4-1-3-2-64-2-0.95,0.024834989,0.04533629
24-4-10-8-64_4-1-3-2-64-1-0.95,0.023927987,0.038818527
18-4-10-8-64_4-1-2-2-128-1-0.95,0.020923002,0.034821764
24-2-8-8-64_4-1-2-2-128-2-0.95,0.025929824,0.03479865
24-2-10-8-32_4-1-3-2-128-1-0.95,0.025947014,0.04005176
24-2-10-8-64_4-1-2-2-64-1-0.95,0.019552283,0.03176222
18-4-8-8-16_4-2-3-2-64-1-0.95,0.028644886,0.037734747
18-4-8-8-64_4-1-3-2-128-2-0.95,0.02747636,0.039456315
18-2-10-8-64_4-1-3-2-64-2-0.95,0.036880203,0.041098434
18-2-8-8-16_4-2-3-2-64-2-0.95,0.07657017,0.08143851
18-4-10-8-16_4-2-3-2-64-1-0.95,0.023675367,0.035483956
24-4-8-8-16_4-2-3-2-64-1-0.95,0.028658211,0.038115107
18-4-10-8-64_4-1-3-2-128-2-0.95,0.03603885,0.053881273
18-2-10-8-16_4-2-3-2-64-2-0.95,0.023198232,0.036357515
24-2-8-8-64_4-1-3-2-64-2-0.95,0.049506724,0.048543647
24-2-10-8-64_4-1-2-2-128-2-0.95,0.019887362,0.03380232
24-4-10-8-16_4-2-3-2-64-1-0.95,0.10463491,0.102114454
24-4-8-8-64_4-1-2-2-128-1-0.95,0.019605916,0.03294661
24-2-8-8-16_4-2-3-2-64-2-0.95,0.026318012,0.03627619
24-4-8-8-64_4-1-3-2-128-2-0.95,0.035039358,0.033789344
18-2-8-8-16_4-2-2-2-64-1-0.95,0.21764721,0.22618185
24-2-10-8-16_4-2-3-2-64-2-0.95,0.049438886,0.056332365
24-2-10-8-64_4-1-3-2-64-2-0.95,0.025234573,0.036667854
18-4-8-8-16_4-2-3-2-128-2-0.95,0.090270996,0.09872796
18-4-8-8-16_4-2-3-2-64-2-0.95,0.03561101,0.05086684
18-4-10-8-16_4-2-3-2-128-2-0.95,0.023132127,0.036083654
18-4-10-8-16_4-2-3-2-64-2-0.95,0.025211431,0.038918644
24-4-10-8-64_4-1-3-2-128-2-0.95,0.021798018,0.035144173
24-4-8-8-16_4-2-3-2-128-2-0.95,0.02526714,0.03537713
18-4-8-8-16_4-2-2-2-128-1-0.95,0.21764721,0.22618185
18-2-8-8-32_4-2-3-2-64-1-0.95,0.02378095,0.036733806
24-4-10-8-64_4-1-2-2-128-1-0.95,0.021560643,0.035183534
24-4-8-8-16_4-2-3-2-64-2-0.95,0.07825169,0.07899551
24-4-10-8-16_4-2-3-2-128-2-0.95,0.038823612,0.043786258
24-4-10-8-16_4-2-3-2-64-2-0.95,0.06860643,0.078064784
18-2-8-8-16_4-2-2-2-128-2-0.95,0.21764721,0.22618185
18-2-8-8-16_4-2-2-2-64-2-0.95,0.21764721,0.22618185
18-2-10-8-16_4-2-2-2-64-1-0.95,0.21764721,0.22618185
18-4-10-8-16_4-2-2-2-128-1-0.95,0.21764721,0.22618185
18-2-10-8-32_4-2-3-2-64-1-0.95,0.21764721,0.22618185
18-4-8-8-32_4-2-2-2-64-2-0.95,0.21764721,0.22618185
18-2-8-8-32_4-2-2-2-64-1-0.95,0.21764721,0.22618185
18-2-8-8-16_4-2-2-2-128-1-0.95,0.21764721,0.22618185
18-2-10-8-16_4-2-2-2-128-2-0.95,0.21764721,0.22618185
18-2-10-8-16_4-2-2-2-64-2-0.95,0.21764721,0.22618185
24-2-8-8-16_4-2-2-2-64-1-0.95,0.21764721,0.22618185
18-2-10-8-32_4-2-2-2-64-1-0.95,0.21764721,0.22618185
24-4-8-8-16_4-2-2-2-128-1-0.95,0.21764721,0.22618185
18-4-10-8-32_4-2-2-2-64-2-0.95,0.21764721,0.22618185
18-2-10-8-16_4-2-2-2-128-1-0.95,0.21764721,0.22618185
24-2-8-8-32_4-2-3-2-64-1-0.95,0.21764721,0.22618185
24-2-10-8-32_4-2-3-2-64-1-0.95,0.098028004,0.10420539
18-4-8-8-32_4-2-3-2-64-1-0.95,0.025216999,0.038998194
24-2-8-8-16_4-2-2-2-128-2-0.95,0.21764721,0.22618185
24-2-8-8-16_4-2-2-2-64-2-0.95,0.21764721,0.22618185
18-4-10-8-32_4-2-3-2-64-1-0.95,0.024977956,0.034351565
24-4-8-8-32_4-2-3-2-64-1-0.95,0.024398709,0.034807034
24-4-10-8-32_4-2-3-2-64-1-0.95,0.110934325,0.11513265
24-2-10-8-16_4-2-2-2-64-1-0.95,0.21764721,0.22618185
24-2-8-8-32_4-2-2-2-64-1-0.95,0.21764721,0.22618185
