model,MAE,RMSE
12-2-4-8-16_4-3-2-2-8_4-1-0.95,0.02022904,0.033960972
30-4-8-8-64_4-1-2-2-16_4-1-0.95,0.020334253,0.033211388
12-2-4-8-16_4-1-2-2-8_4-2-0.95,0.020476231,0.032743946
30-4-10-8-16_4-1-2-2-16_4-1-0.95,0.020569867,0.033367645
30-2-10-8-32_4-1-2-2-16_4-1-0.95,0.020794986,0.033298828
30-4-10-8-16_4-1-2-2-16_4-2-0.95,0.020889357,0.03453059
12-2-4-8-16_4-1-2-2-16_4-1-0.95,0.021077456,0.03747223
12-2-4-8-16_4-3-2-2-8_4-2-0.95,0.021441065,0.034771565
30-2-8-8-32_4-1-2-2-16_4-2-0.95,0.021750342,0.03358991
12-4-4-8-16_4-3-2-2-8_4-1-0.95,0.021839842,0.03580807
12-2-4-8-16_4-1-2-2-8_4-1-0.95,0.022123031,0.035145316
30-4-10-8-64_4-1-2-2-16_4-1-0.95,0.022148581,0.033977453
30-4-8-8-32_4-1-2-2-16_4-1-0.95,0.0221682,0.036689516
12-4-4-8-16_4-1-2-2-16_4-2-0.95,0.022184063,0.035577502
30-4-10-8-32_4-1-2-2-16_4-1-0.95,0.022208989,0.03350292
30-4-8-8-32_4-1-2-2-16_4-2-0.95,0.022262039,0.033589497
30-2-8-8-64_4-1-2-2-16_4-1-0.95,0.022352435,0.03603636
30-2-8-8-64_4-1-2-2-16_4-2-0.95,0.022372577,0.034903392
12-2-8-8-16_4-1-2-2-16_4-2-0.95,0.022377573,0.033802733
30-2-10-8-64_4-1-2-2-16_4-1-0.95,0.022489741,0.03392804
12-4-4-8-16_4-1-2-2-8_4-1-0.95,0.02252006,0.034341026
12-4-8-8-16_4-1-2-2-16_4-2-0.95,0.022596715,0.03556596
30-2-8-8-32_4-1-2-2-16_4-1-0.95,0.022806672,0.035431407
12-4-4-8-16_4-1-2-2-16_4-1-0.95,0.022952206,0.03591376
12-2-4-8-16_4-1-3-2-16_4-2-0.95,0.022972303,0.036287576
30-4-8-8-16_4-1-2-2-16_4-2-0.95,0.022987392,0.0371424
30-2-8-8-16_4-1-2-2-16_4-1-0.95,0.02307954,0.034820646
30-2-8-8-16_4-1-2-2-16_4-2-0.95,0.023170523,0.03638697
12-2-8-8-16_4-1-2-2-16_4-1-0.95,0.023170937,0.03581734
30-2-10-8-16_4-1-2-2-16_4-1-0.95,0.023195682,0.035866894
12-4-8-8-16_4-1-2-2-16_4-1-0.95,0.02323631,0.036643013
12-4-4-8-16_4-1-3-2-8_4-1-0.95,0.023255609,0.033893205
30-4-10-8-32_4-1-2-2-16_4-2-0.95,0.023334604,0.034901313
12-4-8-8-16_4-1-3-2-16_4-1-0.95,0.023564344,0.033259947
30-2-10-8-32_4-1-2-2-16_4-2-0.95,0.023678727,0.03552003
30-4-8-8-64_4-1-2-2-16_4-2-0.95,0.023853535,0.036888562
12-2-8-8-16_4-1-3-2-16_4-2-0.95,0.023939177,0.034105204
30-4-10-8-64_4-1-2-2-16_4-2-0.95,0.024024043,0.03485855
12-2-8-8-16_4-3-2-2-16_4-1-0.95,0.024308283,0.03813863
12-2-4-8-16_4-3-2-2-16_4-1-0.95,0.024399782,0.037336215
12-4-4-8-16_4-1-2-2-8_4-2-0.95,0.024402399,0.037796758
12-4-4-8-16_4-1-3-2-16_4-1-0.95,0.024882574,0.035953827
30-4-8-8-16_4-1-2-2-16_4-1-0.95,0.025062053,0.03943824
30-2-10-8-64_4-1-2-2-16_4-2-0.95,0.025274608,0.03940609
12-2-4-8-16_4-1-2-2-16_4-2-0.95,0.025750339,0.038241506
12-2-8-8-16_4-1-3-2-16_4-1-0.95,0.026606943,0.037523694
12-2-4-8-16_4-1-3-2-8_4-1-0.95,0.027007962,0.038427547
12-4-8-8-16_4-3-2-2-16_4-1-0.95,0.027805842,0.04592562
12-4-4-8-16_4-1-3-2-8_4-2-0.95,0.028355591,0.038527947
12-2-4-8-16_4-1-3-2-16_4-1-0.95,0.029228233,0.039023735
30-2-10-8-16_4-1-2-2-16_4-2-0.95,0.029359221,0.042062618
12-2-4-8-16_4-3-3-2-8_4-2-0.95,0.030607818,0.039054662
12-2-4-8-16_4-1-3-2-8_4-2-0.95,0.03130428,0.04017484
12-4-4-8-16_4-3-3-2-8_4-1-0.95,0.03171852,0.04069626
12-4-4-8-16_4-3-2-2-8_4-2-0.95,0.03671208,0.045642305
12-4-4-8-16_4-3-3-2-8_4-2-0.95,0.0973191,0.10351759
12-2-4-8-16_4-3-3-2-8_4-1-0.95,0.09872975,0.103317946
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
model,MAE,RMSE
